id,group,y_true,file_path,prompt,detector_name,score,y_hat,split
fake_female-doctor_0000,female-doctor,1,/content/drive/MyDrive/project/data/shuffled_2x2/fake/female-doctor/fake_female-doctor_0000.png,,npr,1.0,1,test
fake_female-doctor_0001,female-doctor,1,/content/drive/MyDrive/project/data/shuffled_2x2/fake/female-doctor/fake_female-doctor_0001.png,,npr,1.0,1,test
fake_female-doctor_0002,female-doctor,1,/content/drive/MyDrive/project/data/shuffled_2x2/fake/female-doctor/fake_female-doctor_0002.png,,npr,1.0,1,test
fake_female-doctor_0003,female-doctor,1,/content/drive/MyDrive/project/data/shuffled_2x2/fake/female-doctor/fake_female-doctor_0003.png,,npr,1.0,1,test
fake_female-doctor_0004,female-doctor,1,/content/drive/MyDrive/project/data/shuffled_2x2/fake/female-doctor/fake_female-doctor_0004.png,,npr,1.0,1,test
fake_female-doctor_0005,female-doctor,1,/content/drive/MyDrive/project/data/shuffled_2x2/fake/female-doctor/fake_female-doctor_0005.png,,npr,1.0,1,test
fake_female-doctor_0006,female-doctor,1,/content/drive/MyDrive/project/data/shuffled_2x2/fake/female-doctor/fake_female-doctor_0006.png,,npr,1.0,1,test
fake_female-doctor_0007,female-doctor,1,/content/drive/MyDrive/project/data/shuffled_2x2/fake/female-doctor/fake_female-doctor_0007.png,,npr,0.9169961214065552,1,test
fake_female-doctor_0008,female-doctor,1,/content/drive/MyDrive/project/data/shuffled_2x2/fake/female-doctor/fake_female-doctor_0008.png,,npr,1.0,1,test
fake_female-doctor_0009,female-doctor,1,/content/drive/MyDrive/project/data/shuffled_2x2/fake/female-doctor/fake_female-doctor_0009.png,,npr,1.0,1,test
fake_female-doctor_0010,female-doctor,1,/content/drive/MyDrive/project/data/shuffled_2x2/fake/female-doctor/fake_female-doctor_0010.png,,npr,1.0,1,test
fake_female-doctor_0011,female-doctor,1,/content/drive/MyDrive/project/data/shuffled_2x2/fake/female-doctor/fake_female-doctor_0011.png,,npr,0.992301344871521,1,test
fake_female-doctor_0012,female-doctor,1,/content/drive/MyDrive/project/data/shuffled_2x2/fake/female-doctor/fake_female-doctor_0012.png,,npr,1.0,1,test
fake_female-doctor_0013,female-doctor,1,/content/drive/MyDrive/project/data/shuffled_2x2/fake/female-doctor/fake_female-doctor_0013.png,,npr,1.0,1,test
fake_female-doctor_0014,female-doctor,1,/content/drive/MyDrive/project/data/shuffled_2x2/fake/female-doctor/fake_female-doctor_0014.png,,npr,1.0,1,test
fake_female-doctor_0015,female-doctor,1,/content/drive/MyDrive/project/data/shuffled_2x2/fake/female-doctor/fake_female-doctor_0015.png,,npr,1.0,1,test
fake_female-doctor_0016,female-doctor,1,/content/drive/MyDrive/project/data/shuffled_2x2/fake/female-doctor/fake_female-doctor_0016.png,,npr,0.9999998807907104,1,test
fake_female-doctor_0017,female-doctor,1,/content/drive/MyDrive/project/data/shuffled_2x2/fake/female-doctor/fake_female-doctor_0017.png,,npr,1.0,1,test
fake_female-doctor_0018,female-doctor,1,/content/drive/MyDrive/project/data/shuffled_2x2/fake/female-doctor/fake_female-doctor_0018.png,,npr,1.0,1,test
fake_female-doctor_0019,female-doctor,1,/content/drive/MyDrive/project/data/shuffled_2x2/fake/female-doctor/fake_female-doctor_0019.png,,npr,1.0,1,test
fake_female-doctor_0020,female-doctor,1,/content/drive/MyDrive/project/data/shuffled_2x2/fake/female-doctor/fake_female-doctor_0020.png,,npr,0.6041492223739624,1,test
fake_female-doctor_0021,female-doctor,1,/content/drive/MyDrive/project/data/shuffled_2x2/fake/female-doctor/fake_female-doctor_0021.png,,npr,1.0,1,test
fake_female-doctor_0022,female-doctor,1,/content/drive/MyDrive/project/data/shuffled_2x2/fake/female-doctor/fake_female-doctor_0022.png,,npr,0.9999998807907104,1,test
fake_female-doctor_0023,female-doctor,1,/content/drive/MyDrive/project/data/shuffled_2x2/fake/female-doctor/fake_female-doctor_0023.png,,npr,1.0,1,test
fake_female-doctor_0024,female-doctor,1,/content/drive/MyDrive/project/data/shuffled_2x2/fake/female-doctor/fake_female-doctor_0024.png,,npr,1.0,1,test
fake_female-doctor_0025,female-doctor,1,/content/drive/MyDrive/project/data/shuffled_2x2/fake/female-doctor/fake_female-doctor_0025.png,,npr,0.9999992847442627,1,test
fake_female-doctor_0026,female-doctor,1,/content/drive/MyDrive/project/data/shuffled_2x2/fake/female-doctor/fake_female-doctor_0026.png,,npr,1.0,1,test
fake_female-doctor_0027,female-doctor,1,/content/drive/MyDrive/project/data/shuffled_2x2/fake/female-doctor/fake_female-doctor_0027.png,,npr,1.0,1,test
fake_female-doctor_0028,female-doctor,1,/content/drive/MyDrive/project/data/shuffled_2x2/fake/female-doctor/fake_female-doctor_0028.png,,npr,1.0,1,test
fake_female-doctor_0029,female-doctor,1,/content/drive/MyDrive/project/data/shuffled_2x2/fake/female-doctor/fake_female-doctor_0029.png,,npr,1.0,1,test
fake_female-doctor_0030,female-doctor,1,/content/drive/MyDrive/project/data/shuffled_2x2/fake/female-doctor/fake_female-doctor_0030.png,,npr,1.0,1,test
fake_female-doctor_0031,female-doctor,1,/content/drive/MyDrive/project/data/shuffled_2x2/fake/female-doctor/fake_female-doctor_0031.png,,npr,1.0,1,test
fake_female-doctor_0032,female-doctor,1,/content/drive/MyDrive/project/data/shuffled_2x2/fake/female-doctor/fake_female-doctor_0032.png,,npr,1.0,1,test
fake_female-doctor_0033,female-doctor,1,/content/drive/MyDrive/project/data/shuffled_2x2/fake/female-doctor/fake_female-doctor_0033.png,,npr,1.0,1,test
fake_female-doctor_0034,female-doctor,1,/content/drive/MyDrive/project/data/shuffled_2x2/fake/female-doctor/fake_female-doctor_0034.png,,npr,1.0,1,test
fake_female-doctor_0035,female-doctor,1,/content/drive/MyDrive/project/data/shuffled_2x2/fake/female-doctor/fake_female-doctor_0035.png,,npr,0.999955415725708,1,test
fake_female-doctor_0036,female-doctor,1,/content/drive/MyDrive/project/data/shuffled_2x2/fake/female-doctor/fake_female-doctor_0036.png,,npr,1.0,1,test
fake_female-doctor_0037,female-doctor,1,/content/drive/MyDrive/project/data/shuffled_2x2/fake/female-doctor/fake_female-doctor_0037.png,,npr,0.99566650390625,1,test
fake_female-doctor_0038,female-doctor,1,/content/drive/MyDrive/project/data/shuffled_2x2/fake/female-doctor/fake_female-doctor_0038.png,,npr,1.0,1,test
fake_female-doctor_0039,female-doctor,1,/content/drive/MyDrive/project/data/shuffled_2x2/fake/female-doctor/fake_female-doctor_0039.png,,npr,1.0,1,test
fake_female-doctor_0040,female-doctor,1,/content/drive/MyDrive/project/data/shuffled_2x2/fake/female-doctor/fake_female-doctor_0040.png,,npr,0.9999749660491943,1,test
fake_female-doctor_0041,female-doctor,1,/content/drive/MyDrive/project/data/shuffled_2x2/fake/female-doctor/fake_female-doctor_0041.png,,npr,1.0,1,test
fake_female-doctor_0042,female-doctor,1,/content/drive/MyDrive/project/data/shuffled_2x2/fake/female-doctor/fake_female-doctor_0042.png,,npr,0.7598254084587097,1,test
fake_female-doctor_0043,female-doctor,1,/content/drive/MyDrive/project/data/shuffled_2x2/fake/female-doctor/fake_female-doctor_0043.png,,npr,1.0,1,test
fake_female-doctor_0044,female-doctor,1,/content/drive/MyDrive/project/data/shuffled_2x2/fake/female-doctor/fake_female-doctor_0044.png,,npr,1.0,1,test
fake_female-doctor_0045,female-doctor,1,/content/drive/MyDrive/project/data/shuffled_2x2/fake/female-doctor/fake_female-doctor_0045.png,,npr,1.0,1,test
fake_female-doctor_0046,female-doctor,1,/content/drive/MyDrive/project/data/shuffled_2x2/fake/female-doctor/fake_female-doctor_0046.png,,npr,1.0,1,test
fake_female-doctor_0047,female-doctor,1,/content/drive/MyDrive/project/data/shuffled_2x2/fake/female-doctor/fake_female-doctor_0047.png,,npr,1.0,1,test
fake_female-doctor_0048,female-doctor,1,/content/drive/MyDrive/project/data/shuffled_2x2/fake/female-doctor/fake_female-doctor_0048.png,,npr,1.0,1,test
fake_female-doctor_0049,female-doctor,1,/content/drive/MyDrive/project/data/shuffled_2x2/fake/female-doctor/fake_female-doctor_0049.png,,npr,1.0,1,test
fake_female-doctor_0050,female-doctor,1,/content/drive/MyDrive/project/data/shuffled_2x2/fake/female-doctor/fake_female-doctor_0050.png,,npr,0.9999984502792358,1,test
