id,group,y_true,file_path,prompt,detector_name,score,y_hat,split
fake_female-doctor_0000,female-doctor,1,/content/drive/MyDrive/project/data/shuffled_8x8/fake/female-doctor/fake_female-doctor_0000.png,,cnndetection,1.3757886910525697e-22,0,test
fake_female-doctor_0001,female-doctor,1,/content/drive/MyDrive/project/data/shuffled_8x8/fake/female-doctor/fake_female-doctor_0001.png,,cnndetection,1.9231165682097956e-20,0,test
fake_female-doctor_0002,female-doctor,1,/content/drive/MyDrive/project/data/shuffled_8x8/fake/female-doctor/fake_female-doctor_0002.png,,cnndetection,1.1623945367036275e-15,0,test
fake_female-doctor_0003,female-doctor,1,/content/drive/MyDrive/project/data/shuffled_8x8/fake/female-doctor/fake_female-doctor_0003.png,,cnndetection,1.2563797116386943e-13,0,test
fake_female-doctor_0004,female-doctor,1,/content/drive/MyDrive/project/data/shuffled_8x8/fake/female-doctor/fake_female-doctor_0004.png,,cnndetection,3.677942417854366e-14,0,test
fake_female-doctor_0005,female-doctor,1,/content/drive/MyDrive/project/data/shuffled_8x8/fake/female-doctor/fake_female-doctor_0005.png,,cnndetection,1.1470344147683384e-16,0,test
fake_female-doctor_0006,female-doctor,1,/content/drive/MyDrive/project/data/shuffled_8x8/fake/female-doctor/fake_female-doctor_0006.png,,cnndetection,4.186888891144491e-10,0,test
fake_female-doctor_0007,female-doctor,1,/content/drive/MyDrive/project/data/shuffled_8x8/fake/female-doctor/fake_female-doctor_0007.png,,cnndetection,2.398837275991377e-16,0,test
fake_female-doctor_0008,female-doctor,1,/content/drive/MyDrive/project/data/shuffled_8x8/fake/female-doctor/fake_female-doctor_0008.png,,cnndetection,4.411772643812975e-21,0,test
fake_female-doctor_0009,female-doctor,1,/content/drive/MyDrive/project/data/shuffled_8x8/fake/female-doctor/fake_female-doctor_0009.png,,cnndetection,1.3437414375649936e-11,0,test
fake_female-doctor_0010,female-doctor,1,/content/drive/MyDrive/project/data/shuffled_8x8/fake/female-doctor/fake_female-doctor_0010.png,,cnndetection,5.366557761226503e-16,0,test
fake_female-doctor_0011,female-doctor,1,/content/drive/MyDrive/project/data/shuffled_8x8/fake/female-doctor/fake_female-doctor_0011.png,,cnndetection,2.1970665667862776e-18,0,test
fake_female-doctor_0012,female-doctor,1,/content/drive/MyDrive/project/data/shuffled_8x8/fake/female-doctor/fake_female-doctor_0012.png,,cnndetection,1.6642740516877724e-13,0,test
fake_female-doctor_0013,female-doctor,1,/content/drive/MyDrive/project/data/shuffled_8x8/fake/female-doctor/fake_female-doctor_0013.png,,cnndetection,5.389306353037345e-17,0,test
fake_female-doctor_0014,female-doctor,1,/content/drive/MyDrive/project/data/shuffled_8x8/fake/female-doctor/fake_female-doctor_0014.png,,cnndetection,3.94238116962216e-21,0,test
fake_female-doctor_0015,female-doctor,1,/content/drive/MyDrive/project/data/shuffled_8x8/fake/female-doctor/fake_female-doctor_0015.png,,cnndetection,4.321179247757101e-10,0,test
fake_female-doctor_0016,female-doctor,1,/content/drive/MyDrive/project/data/shuffled_8x8/fake/female-doctor/fake_female-doctor_0016.png,,cnndetection,1.012799412614335e-15,0,test
fake_female-doctor_0017,female-doctor,1,/content/drive/MyDrive/project/data/shuffled_8x8/fake/female-doctor/fake_female-doctor_0017.png,,cnndetection,2.9553417869252743e-15,0,test
fake_female-doctor_0018,female-doctor,1,/content/drive/MyDrive/project/data/shuffled_8x8/fake/female-doctor/fake_female-doctor_0018.png,,cnndetection,3.009505188458772e-12,0,test
fake_female-doctor_0019,female-doctor,1,/content/drive/MyDrive/project/data/shuffled_8x8/fake/female-doctor/fake_female-doctor_0019.png,,cnndetection,1.0060999204121218e-21,0,test
fake_female-doctor_0020,female-doctor,1,/content/drive/MyDrive/project/data/shuffled_8x8/fake/female-doctor/fake_female-doctor_0020.png,,cnndetection,1.1043325174207773e-19,0,test
fake_female-doctor_0021,female-doctor,1,/content/drive/MyDrive/project/data/shuffled_8x8/fake/female-doctor/fake_female-doctor_0021.png,,cnndetection,1.6808210097189746e-13,0,test
fake_female-doctor_0022,female-doctor,1,/content/drive/MyDrive/project/data/shuffled_8x8/fake/female-doctor/fake_female-doctor_0022.png,,cnndetection,8.724699789365277e-20,0,test
fake_female-doctor_0023,female-doctor,1,/content/drive/MyDrive/project/data/shuffled_8x8/fake/female-doctor/fake_female-doctor_0023.png,,cnndetection,3.998264444001051e-15,0,test
fake_female-doctor_0024,female-doctor,1,/content/drive/MyDrive/project/data/shuffled_8x8/fake/female-doctor/fake_female-doctor_0024.png,,cnndetection,3.9343426791200314e-14,0,test
fake_female-doctor_0025,female-doctor,1,/content/drive/MyDrive/project/data/shuffled_8x8/fake/female-doctor/fake_female-doctor_0025.png,,cnndetection,8.170845629840883e-19,0,test
fake_female-doctor_0026,female-doctor,1,/content/drive/MyDrive/project/data/shuffled_8x8/fake/female-doctor/fake_female-doctor_0026.png,,cnndetection,6.2522024737708195e-18,0,test
fake_female-doctor_0027,female-doctor,1,/content/drive/MyDrive/project/data/shuffled_8x8/fake/female-doctor/fake_female-doctor_0027.png,,cnndetection,7.742817015219226e-20,0,test
fake_female-doctor_0028,female-doctor,1,/content/drive/MyDrive/project/data/shuffled_8x8/fake/female-doctor/fake_female-doctor_0028.png,,cnndetection,1.0250062327190658e-18,0,test
fake_female-doctor_0029,female-doctor,1,/content/drive/MyDrive/project/data/shuffled_8x8/fake/female-doctor/fake_female-doctor_0029.png,,cnndetection,5.606556233807974e-25,0,test
fake_female-doctor_0030,female-doctor,1,/content/drive/MyDrive/project/data/shuffled_8x8/fake/female-doctor/fake_female-doctor_0030.png,,cnndetection,2.295149590637814e-17,0,test
fake_female-doctor_0031,female-doctor,1,/content/drive/MyDrive/project/data/shuffled_8x8/fake/female-doctor/fake_female-doctor_0031.png,,cnndetection,9.860035253279453e-16,0,test
fake_female-doctor_0032,female-doctor,1,/content/drive/MyDrive/project/data/shuffled_8x8/fake/female-doctor/fake_female-doctor_0032.png,,cnndetection,9.859709366090092e-21,0,test
fake_female-doctor_0033,female-doctor,1,/content/drive/MyDrive/project/data/shuffled_8x8/fake/female-doctor/fake_female-doctor_0033.png,,cnndetection,2.5316073578241613e-18,0,test
fake_female-doctor_0034,female-doctor,1,/content/drive/MyDrive/project/data/shuffled_8x8/fake/female-doctor/fake_female-doctor_0034.png,,cnndetection,7.265628392981102e-14,0,test
fake_female-doctor_0035,female-doctor,1,/content/drive/MyDrive/project/data/shuffled_8x8/fake/female-doctor/fake_female-doctor_0035.png,,cnndetection,7.515456988830165e-19,0,test
fake_female-doctor_0036,female-doctor,1,/content/drive/MyDrive/project/data/shuffled_8x8/fake/female-doctor/fake_female-doctor_0036.png,,cnndetection,1.0906900478147783e-16,0,test
fake_female-doctor_0037,female-doctor,1,/content/drive/MyDrive/project/data/shuffled_8x8/fake/female-doctor/fake_female-doctor_0037.png,,cnndetection,6.252248718752185e-11,0,test
fake_female-doctor_0038,female-doctor,1,/content/drive/MyDrive/project/data/shuffled_8x8/fake/female-doctor/fake_female-doctor_0038.png,,cnndetection,7.031621664830338e-21,0,test
fake_female-doctor_0039,female-doctor,1,/content/drive/MyDrive/project/data/shuffled_8x8/fake/female-doctor/fake_female-doctor_0039.png,,cnndetection,2.9136465705416147e-21,0,test
fake_female-doctor_0040,female-doctor,1,/content/drive/MyDrive/project/data/shuffled_8x8/fake/female-doctor/fake_female-doctor_0040.png,,cnndetection,2.1395655976431425e-19,0,test
fake_female-doctor_0041,female-doctor,1,/content/drive/MyDrive/project/data/shuffled_8x8/fake/female-doctor/fake_female-doctor_0041.png,,cnndetection,2.4962091070128407e-20,0,test
fake_female-doctor_0042,female-doctor,1,/content/drive/MyDrive/project/data/shuffled_8x8/fake/female-doctor/fake_female-doctor_0042.png,,cnndetection,1.1237766359833978e-12,0,test
fake_female-doctor_0043,female-doctor,1,/content/drive/MyDrive/project/data/shuffled_8x8/fake/female-doctor/fake_female-doctor_0043.png,,cnndetection,5.480993077070862e-15,0,test
fake_female-doctor_0044,female-doctor,1,/content/drive/MyDrive/project/data/shuffled_8x8/fake/female-doctor/fake_female-doctor_0044.png,,cnndetection,2.52420371083873e-16,0,test
fake_female-doctor_0045,female-doctor,1,/content/drive/MyDrive/project/data/shuffled_8x8/fake/female-doctor/fake_female-doctor_0045.png,,cnndetection,4.2324620235434027e-14,0,test
fake_female-doctor_0046,female-doctor,1,/content/drive/MyDrive/project/data/shuffled_8x8/fake/female-doctor/fake_female-doctor_0046.png,,cnndetection,1.7620355451412537e-14,0,test
fake_female-doctor_0047,female-doctor,1,/content/drive/MyDrive/project/data/shuffled_8x8/fake/female-doctor/fake_female-doctor_0047.png,,cnndetection,7.01980202935878e-21,0,test
